,Close,Consumer Price Index: Total All Items for the United States,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Real M2 Money Stock,Unemployment Rate,Federal Funds Effective Rate,"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average
1989-11-01,341.200012,0.238853503184704,4.811218772,0.38236,2488.7,5.4,8.98,7.91,125.9
1989-12-01,350.630005,0.158856235107229,4.842735403,0.38665,2496.0,5.4,8.51,7.81,126.3
1990-02-01,328.790009,0.470957613814759,4.935526464,0.39638,2483.8,5.3,8.25,8.42,128.0
1990-03-01,332.73999,0.546874999999992,5.208700881,0.61921,2480.6,5.2,8.3,8.59,128.6
1990-05-01,332.25,0.232738557020917,5.183754067,0.38327,2479.2,5.4,8.11,9.08,129.1
1990-06-01,363.160004,0.541795665634708,5.388456883,0.56278,2474.0,5.2,8.28,8.44,129.9
1990-08-01,355.519989,0.92024539877301,5.855903558,0.62743,2463.5,5.7,8.07,8.29,131.6
1990-10-01,314.940002,0.602863602110005,5.817450968,0.37792,2443.3,5.9,8.25,8.71,133.4
1990-11-01,307.019989,0.224719101123606,5.70341926,0.27781,2440.2,6.2,8.06,8.57,133.7
1991-02-01,343.049988,0.148588410104032,5.883436919,0.46702,2451.4,6.6,6.3,7.91,134.8
1991-03-01,370.470001,0.148367952522256,5.496431415,0.25051,2464.3,6.8,6.35,8.12,134.8
1991-04-01,371.299988,0.148148148148129,5.302381155,0.25952,2466.6,6.7,6.48,8.07,135.1
1991-05-01,380.290009,0.295857988165682,5.248477287,0.32023,2465.3,6.9,5.9,8.01,135.6
1991-07-01,377.920013,0.147058823529393,4.735708693,0.37489,2464.1,6.8,6.38,8.26,136.2
1991-08-01,387.119995,0.293685756240824,4.413788018,0.34638,2456.1,6.9,5.86,8.2,136.6
1991-10-01,389.200012,0.145772594752206,4.310597235,0.22309,2449.1,7.0,5.4,7.45,137.2
1991-11-01,391.320007,0.291120815138284,4.370003221,0.30965,2442.3,7.0,5.03,7.48,137.8
1992-04-01,404.230011,0.143575017946859,4.077543119,0.308,2438.8,7.4,4.98,7.46,139.4
1992-05-01,412.529999,0.143369175627241,3.937860894,0.1842,2432.8,7.6,3.75,7.56,139.7
1992-06-01,417.299988,0.357909806728696,3.875841001,0.24525,2422.1,7.8,3.96,7.39,140.1
1992-07-01,412.880005,0.213980028530681,3.785344226,0.26833,2415.6,7.7,3.89,7.1,140.5
1992-09-01,416.070007,0.283889283179561,3.363566041,0.15368,2416.9,7.6,3.39,6.56,141.1
1992-10-01,416.290009,0.353857041755123,3.654950596,0.4682,2416.2,7.3,3.58,6.23,141.7
1992-12-01,430.779999,-0.0704225352112772,3.497528562,0.20049,2406.7,7.4,3.17,6.94,142.3
1993-02-01,442.519989,0.350631136044892,3.580667722,0.25902,2386.1,7.1,3.25,6.38,143.1
1993-03-01,442.01001,0.34940600978336,3.353160609,0.14569,2380.8,7.0,3.65,5.94,143.3
1993-04-01,450.299988,0.278551532033427,3.422176699,0.37838,2372.3,7.1,3.31,6.06,143.8
1993-06-01,453.829987,0.138696255201128,3.583428873,0.27882,2385.6,7.0,3.33,6.07,144.3
1993-07-01,449.019989,0.0,3.437046316,0.14669,2382.0,6.9,3.27,5.8,144.5
1993-09-01,463.149994,0.207182320441981,3.656038681,0.25894,2380.8,6.7,3.25,5.46,145.0
1993-10-01,461.279999,0.413507925568557,3.433321443,0.28218,2374.1,6.8,3.19,5.34,145.6
1993-11-01,469.100006,0.0686341798215785,3.445125507,0.32005,2376.8,6.6,3.15,5.56,146.0
1993-12-01,461.890015,0.0,3.557822725,0.30405,2374.9,6.5,3.07,5.82,146.3
1994-02-01,479.619995,0.34199726402188,3.424654259,0.28196,2369.3,6.6,3.25,5.77,146.7
1994-03-01,464.440002,0.340831629175198,3.578833286,0.28035,2365.8,6.5,3.31,6.28,147.1
1994-06-01,457.630005,0.33898305084745,3.207540833,0.24781,2352.6,6.1,4.33,7.12,147.9
1994-07-01,446.200012,0.270270270270271,3.245680943,0.17374,2350.5,6.1,3.82,7.34,148.4
1994-08-01,461.01001,0.404312668463614,3.318864731,0.35253,2339.4,6.0,4.34,7.13,149.0
1994-09-01,473.170013,0.268456375838927,3.267212367,0.2185,2335.0,5.9,4.76,7.19,149.3
1994-11-01,468.420013,0.13377926421403,3.142092625,0.30582,2327.9,5.6,4.76,7.91,149.8
1994-12-01,448.920013,0.0,2.915659975,0.11009,2322.7,5.5,5.49,7.92,150.1
1995-02-01,470.399994,0.399201596806389,3.139699974,0.27509,2312.7,5.4,5.25,7.66,150.9
1995-03-01,485.649994,0.331345261762749,3.184482491,0.34524,2308.9,5.4,5.56,7.23,151.2
1995-05-01,514.26001,0.197498354180374,3.367477772,0.23025,2317.0,5.6,6.1,7.09,152.1
1995-06-01,533.48999,0.197109067017092,3.34707431,0.22846,2328.7,5.6,6.04,6.2,152.4
1995-08-01,559.640015,0.262295081967214,3.255560049,0.23981,2347.3,5.7,5.55,6.5,152.9
1995-09-01,563.840027,0.196206671026807,3.368207809,0.30733,2352.8,5.6,5.72,6.22,153.1
1995-11-01,584.219971,-0.0650618087182741,3.394879542,0.21789,2355.2,5.6,5.76,5.98,153.7
1995-12-01,606.97998,-0.0651041666666584,3.397750888,0.10516,2358.3,5.6,5.56,5.71,153.9
1996-02-01,638.460022,0.323834196891202,3.278044833,0.27648,2362.5,5.5,5.27,5.63,155.0
1996-03-01,644.369995,0.516462233699146,3.15123296,0.22314,2371.0,5.5,5.81,5.99,155.5
1996-04-01,653.72998,0.385356454720635,3.021419042,0.20895,2368.8,5.6,5.53,6.31,156.1
1996-05-01,654.580017,0.191938579654503,3.065009249,0.27316,2371.9,5.6,5.41,6.68,156.4
1996-07-01,675.880005,0.191448627951509,3.103134864,0.27791,2380.3,5.5,7.8,6.74,157.0
1996-08-01,650.02002,0.19108280254778,3.096243134,0.22597,2381.7,5.1,6.29,6.65,157.2
1996-10-01,689.080017,0.316856780735101,2.957328624,0.23018,2384.8,5.2,5.53,6.65,158.2
1996-11-01,703.77002,0.189513581806689,2.99348831,0.26237,2391.4,5.4,5.19,6.38,158.7
1997-04-01,759.640015,0.124999999999984,2.924881516,0.2437,2424.6,5.1,6.18,6.9,159.9
1997-05-01,798.530029,-0.0624219725343241,2.883239208,0.22002,2432.3,4.9,5.73,6.69,159.9
1997-07-01,891.030029,0.124766063630677,2.764311367,0.21251,2446.3,4.9,6.24,6.45,160.4
1997-08-01,947.140015,0.186915887850476,2.668660701,0.14059,2461.1,4.8,5.65,6.2,160.8
1997-10-01,955.409973,0.248138957816378,2.633884037,0.27304,2472.0,4.7,5.65,6.04,161.5
1997-12-01,974.77002,-0.12383900928791,2.636585632,0.24835,2492.5,4.7,5.92,5.86,161.8
1998-04-01,1108.150024,0.184956843403215,2.650550927,0.21986,2552.5,4.3,5.72,5.62,162.2
1998-05-01,1121.0,0.184615384615393,2.621199946,0.20516,2561.1,4.4,5.46,5.67,162.6
1998-06-01,1090.97998,0.122850122850123,2.610692088,0.18113,2570.1,4.5,5.79,5.53,162.8
1998-07-01,1148.560059,0.122699386503052,2.613395599,0.2055,2575.9,4.5,6.35,5.44,163.2
1998-09-01,994.26001,0.122399020807818,2.603431515,0.18754,2610.2,4.6,5.75,5.05,163.5
1998-10-01,986.390015,0.24449877750613,2.54435291,0.21205,2628.2,4.5,5.73,4.33,163.9
1998-12-01,1175.280029,-0.0609756097561058,2.446189532,0.1741,2661.3,4.4,4.82,4.67,164.4
1999-02-01,1273.0,0.121728545343868,2.3238316,0.135694,2686.9,4.4,4.86,4.75,164.7
1999-03-01,1236.160034,0.303951367781164,2.2464619,0.178467,2689.4,4.2,5.1,5.4,164.8
1999-04-01,1293.719971,0.727272727272714,2.2358613,0.212001,2688.8,4.3,5.41,5.27,165.9
1999-06-01,1294.26001,0.0,2.0812547,0.100888,2715.2,4.3,4.78,5.78,166.0
1999-07-01,1380.959961,0.300842358604085,2.1244533,0.250634,2720.2,4.3,5.76,5.85,166.7
1999-09-01,1331.069946,0.478755236385384,2.0832919,0.144733,2722.1,4.2,5.41,5.99,167.8
1999-10-01,1282.810059,0.178677784395466,2.0639533,0.199993,2731.4,4.1,5.26,6.0,168.1
1999-11-01,1354.119995,0.0594530321046454,2.1623251,0.270511,2737.8,4.1,5.38,6.06,168.4
1999-12-01,1397.719971,0.0,2.1818508,0.187267,2747.6,4.0,5.71,6.21,168.8
2000-02-01,1409.280029,0.592417061611377,2.3950909,0.176327,2752.6,4.1,5.79,6.62,170.0
2000-03-01,1379.189941,0.824499411071837,2.4989589,0.270402,2754.5,4.0,5.78,6.39,171.0
2000-05-01,1468.25,0.116754232340923,2.5736327,0.263778,2776.8,4.0,6.17,6.29,171.2
